,Questions,Answers
32,How do you design a system that reads a natural language question and retrieves the closest FAQ answer?,"There are multiple approaches for FAQ based question answering

Keyword based search (Information retrieval approach): Tag each question with keywords. Extract keywords from query and retrieve all relevant questions answers. Easy ..."
33,What are the different ways of representing documents ?,"
Bag of words: Commonly called BOW involves creating a vocabulary of words and representing the document as a count vector, dimension equivalent to the vocabulary size – each dimension representing ..."
34,What are the advantages and disadvantages of using Rule based approaches in NLP?,"


Cold start: Many a times when we have the cold start problem (No data to begin with) in Machine Learning, rule based approaches make sense. 

For example, you want to recommend ..."
35,How do you find the most probable sequence of POS tags from a sequence of text?,"
This problem can be solved with a HMM. 
Using a HMM involves finding the transition probabilities (what is the probability of going from one POS tag to another and emission/output ..."
36,Suppose you build word vectors (embeddings) with each word vector having dimensions as the vocabulary size(V) and feature values as pPMI between corresponding words: What are the problems with this approach and how can you resolve them ?,"Problems

As the vocabulary size (V) is large, these vectors will be large in size.
They will be sparse as a word may not have co-occurred with all possible words.

Resolution

Dimensionality Reduction using ..."
37,What are common tools for speech recognition ? What are the advantages and disadvantages of each?,"There are several ready tools for speech recognition, that one can use to train custom models given the appropriate dataset. 
CMU Sphinx : Used more in an academic setting, one ..."
38,You have come up with a Spam classifier. How do you measure accuracy ?,"Spam filtering is a classification problem. In a classification problem, the following are the common metrics used to measure efficacy : 
True positives : Those data points where the outcome ..."
39,What is the state of the art technique for Machine Translation ?,"
Rule based machine translation (Older techniques) : Uses dictionary between words of the two languages along with syntactic, semantic morphological analysis of the source sentence to define  context. Linguistic Rules ..."
40,How do you deal with dataset imbalance in a problem like spam filtering ?,Class imbalance is a very common problem when applying ML algorithms. Spam filtering is one such application where class imbalance is apparent. There are many more non-spam emails in a ...
41,What is the difference between paraphrasing and textual entailment ?,"Textual entailment is the process of determining if a source T implies the hypothesis text H. Example :It is a unidirectional relationship : text: If you help the needy, God ..."
42,What is the difference between stemming and lemmatisation?,"
Stemming is about replacing each word with its origin stem word in order to remove the suffixes like “es”, “ies”, “s”. For ex., “cats” => “cat”, “computers” => “computer” etc. ..."
43,"You are trying to cluster documents using a Bag of Words method. Typically words like if, of, is and so on are not great features. How do you make sure you are leveraging the more informative words better during the feature Engineering?","  Words like if, of, … are called stop words. Typical pre-processing in standard NLP pipeline involves identifying and removing stop-words (except in some cases where context/ word adjacency information ..."
44,What is shallow parsing,Typically we have a generative grammar that tells us how a sentence is generated from a set of rules.  Parsing is the process of finding a parse tree that is ...
45,What are the advantages and disadvantages of using naive bayes for spam detection?,"Disadvantages: 
Naive bayes is based on the conditional independence of features assumption – an assumption that is not valid in many real world scenarios. Hence it sometimes oversimplifies the problem ..."
46,[latexpage] How do you train a hMM model in practice ?,"The joint probability distribution for the HMM model is given by the following equation where  are the observed data points and  the corresponding latent states:
      ..."
47,[latexpage] How do you generate text using a Hidden Markov Model (HMM) ?,"The HMM is a latent variable model where the observed sequence of variables  are assumed to be generated from a set of temporally connected latent  variables .
The joint distribution ..."
48,What is speaker segmentation in speech recognition ? How do you use it ?,Speaker diarization or speaker segmentation is the process of automatically assigning a speaker identity to each segment of the audio file. Segmenting by speaker is very useful in several applications ...
49,"Can you find the antonyms of a word given a large enough corpus? For ex. Black => white or rich => poor etc. If yes then how, otherwise justify your answer.","
Pre existing Databases: There are several curated antonym databases such as wordpress and so on from which you can directly check if you can get antonyms of a given word.
Hearst ..."
50,How can you increase the recall of a search query (on search engine or e-commerce site) result without changing the algorithm ?,"


Since we are not allowed to change the algorithm, we can only play with modifying or augmenting the search query. (Note, we either change the algorithm/model or the data, here ..."
51,What are some common tools available for NER ? Named Entity Recognition ?,"Notable NER platforms include:

GATE supports NER across many languages and domains out of the box, usable via a graphical interface and a Java API.
OpenNLP includes rule-based and statistical named-entity recognition.
SpaCy ..."
52,"If you don’t have a stop-word dictionary or are working on a new language, what approach would you take to remove stop words?","TF-IDF (term frequency Inverse document frequency) is a popular approach that can be leveraged to eliminate stop words. This technique is language independent. 
The intuition here is that commonly occurring ..."
